Year-month,temp_mean_daily_min,temp_extremes_min,temp_mean_daily_max,mean_temp,max_temperature,mean_sunshine_hrs,wet_bulb_temperature,maximum_rainfall_in_a_day,total_rainfall,rh_extremes_minimum,mean_rh,no_of_rainy_days,Prob_rain
1999-07-01,25.3,21.6,31.2,27.8,32.9,6.8,25.4,51.4,225.4,56.0,82.7,11.0,1
1999-08-01,25.7,21.9,31.0,27.5,32.9,5.7,25.4,42.4,204.0,51.0,84.1,13.0,1
1999-09-01,25.9,22.1,31.9,27.9,33.9,6.5,25.4,41.5,125.9,50.0,81.7,13.0,1
1999-10-01,26.2,22.4,31.1,27.2,32.5,4.7,25.1,32.8,205.0,53.0,84.6,20.0,2
1999-11-01,26.1,22.9,31.3,27.3,33.4,4.7,25.1,39.0,241.5,47.0,84.4,19.0,2
1999-12-01,25.9,22.4,30.6,26.8,33.0,4.1,24.8,76.9,340.5,56.0,85.3,17.0,2
2000-01-01,26.3,22.8,29.8,26.3,31.8,4.0,24.6,127.6,275.2,60.0,86.9,14.0,1
2000-02-01,26.0,21.7,31.0,26.6,32.4,5.8,24.8,39.9,237.8,58.0,86.5,18.0,2
2000-03-01,26.0,20.2,31.9,27.2,34.0,5.8,25.3,37.9,238.3,44.0,85.8,15.0,2
2000-04-01,26.0,22.6,31.9,27.5,33.4,5.3,25.6,87.4,311.6,54.0,85.6,20.0,2
2000-05-01,25.5,22.6,32.7,28.6,34.2,6.8,26.2,36.7,96.8,49.0,82.4,10.0,1
2000-06-01,26.0,22.5,31.1,27.6,33.3,4.6,25.5,41.7,157.5,53.0,84.3,16.0,2
2000-07-01,25.6,22.1,31.6,28.1,33.1,6.5,25.7,34.6,116.1,56.0,82.6,12.0,1
2000-08-01,25.4,22.2,30.7,27.5,33.3,5.1,25.4,28.1,113.5,46.0,83.8,18.0,2
2000-09-01,26.1,23.5,32.1,28.0,34.3,6.2,25.6,25.7,81.1,48.0,82.2,12.0,1
2000-10-01,25.6,22.9,31.8,27.8,34.1,4.0,25.3,38.3,120.9,51.0,82.1,14.0,1
2000-11-01,25.3,22.9,31.3,27.3,34.2,3.7,25.6,72.0,385.7,47.0,87.1,21.0,2
2000-12-01,26.4,23.0,31.0,27.0,32.6,4.2,25.3,45.8,236.0,60.0,87.6,18.0,2
2001-01-01,25.4,22.7,30.3,26.5,32.8,4.4,24.9,125.4,425.8,49.0,87.4,21.0,2
2001-02-01,26.1,23.0,30.9,27.0,32.4,4.8,24.8,28.2,86.6,58.0,83.6,11.0,1
2001-03-01,26.3,22.7,31.8,27.5,33.7,5.4,25.4,41.1,297.3,50.0,84.5,20.0,2
2001-04-01,26.1,23.2,31.8,27.7,33.5,5.3,25.9,68.9,203.3,50.0,86.0,18.0,2
2001-05-01,25.7,22.4,32.2,28.5,33.5,6.0,26.5,56.1,164.9,57.0,85.0,12.0,1
2001-06-01,25.6,21.5,31.4,28.2,33.6,4.9,25.8,49.6,137.1,49.0,82.5,11.0,1
2001-07-01,26.0,23.0,32.2,28.4,33.7,8.1,25.8,44.8,111.3,50.0,80.8,9.0,1
2001-08-01,25.5,22.8,31.1,28.0,33.7,4.9,25.8,36.6,158.3,50.0,83.7,14.0,1
2001-09-01,25.3,22.8,31.6,28.0,33.1,6.2,25.6,74.3,162.0,54.0,82.3,13.0,1
2001-10-01,26.4,22.6,31.4,27.6,34.0,4.4,25.4,77.2,252.2,47.0,83.7,20.0,2
2001-11-01,26.0,23.2,30.8,27.2,33.2,3.7,25.2,102.6,175.3,54.0,84.9,15.0,2
2001-12-01,25.6,22.2,30.7,26.7,33.2,4.5,24.9,211.1,609.0,55.0,86.8,20.0,2
2002-01-01,25.9,23.4,30.9,27.0,33.5,6.9,24.8,83.8,221.2,49.0,83.6,11.0,1
2002-02-01,25.8,22.1,31.3,27.3,32.5,7.4,24.7,41.7,50.8,53.0,80.9,2.0,0
2002-03-01,25.4,23.5,33.0,28.2,34.8,7.6,25.5,26.4,55.6,40.0,80.8,8.0,1
2002-04-01,26.3,23.0,33.0,28.6,34.3,6.6,26.1,39.4,116.5,50.0,82.3,13.0,1
2002-05-01,26.0,23.2,32.6,28.9,34.1,6.2,26.4,75.9,236.6,52.0,82.3,13.0,1
2002-06-01,25.4,23.7,32.1,28.7,33.3,6.3,26.2,45.8,83.1,56.0,82.1,12.0,1
2002-07-01,26.2,22.9,31.9,28.4,33.0,6.8,26.1,69.5,233.7,56.0,82.7,11.0,1
2002-08-01,25.8,22.4,31.9,28.5,33.6,6.7,25.6,17.8,54.2,50.0,79.2,14.0,1
2002-09-01,25.8,22.0,31.7,28.1,33.2,5.5,25.5,38.9,124.2,49.0,81.7,9.0,1
2002-10-01,25.6,24.1,33.0,28.7,34.6,6.2,25.8,3.2,10.8,42.0,79.8,7.0,1
2002-11-01,24.5,23.1,31.7,27.4,34.0,4.6,25.5,84.0,307.2,56.0,85.8,15.0,2
2002-12-01,24.7,23.0,31.3,27.2,33.0,4.8,25.7,38.6,255.0,56.0,88.7,24.0,2
2003-01-01,24.4,23.2,30.1,26.7,32.4,4.7,24.9,194.4,444.2,56.0,86.9,20.0,2
2003-02-01,24.4,22.8,30.8,27.1,32.6,5.8,25.1,82.2,172.9,55.0,85.0,13.0,1
2003-03-01,25.2,22.8,32.3,28.1,33.5,6.9,25.8,38.3,154.6,54.0,83.8,11.0,1
2003-04-01,25.3,23.4,32.1,27.9,33.7,5.1,26.1,42.9,159.9,48.0,86.7,20.0,2
2003-05-01,26.5,23.4,32.7,29.2,34.3,5.8,26.6,33.0,81.8,45.0,81.7,11.0,1
2003-06-01,26.0,22.4,32.7,28.9,34.3,7.0,25.9,23.2,50.3,36.0,78.5,12.0,1
2003-07-01,25.1,22.0,31.5,28.1,32.8,5.6,25.6,30.9,170.4,54.0,81.7,14.0,1
2003-08-01,25.5,23.0,31.8,28.2,33.1,6.1,25.9,64.4,193.6,48.0,83.1,13.0,1
2003-09-01,24.8,22.4,31.2,27.6,32.9,5.0,25.6,60.0,205.3,46.0,84.8,15.0,2
2003-10-01,24.5,22.6,31.1,27.6,33.0,5.1,25.5,56.6,351.4,54.0,84.9,21.0,2
2003-11-01,24.7,23.0,31.0,27.1,33.0,4.2,25.4,41.3,133.8,56.0,87.3,19.0,2
2003-12-01,24.3,22.3,29.9,26.5,32.2,3.9,24.9,92.1,273.0,60.0,87.2,17.0,2
2004-01-01,24.2,22.0,30.6,26.9,32.0,6.7,25.1,177.8,600.9,57.0,86.7,13.0,1
2004-02-01,24.7,22.6,32.0,27.6,34.0,7.7,25.0,19.2,31.9,51.0,80.5,4.0,0
2004-03-01,24.7,22.2,32.2,27.7,33.7,4.8,25.7,122.8,269.4,56.0,85.8,16.0,2
2004-04-01,26.1,24.4,33.3,28.9,35.1,7.0,26.4,18.1,57.1,46.0,82.3,9.0,1
2004-05-01,26.4,23.6,32.8,28.9,34.3,6.0,26.4,73.4,137.6,51.0,82.1,13.0,1
2004-06-01,26.1,22.5,32.4,29.0,33.7,6.3,26.2,68.1,127.2,49.0,79.8,8.0,1
2004-07-01,24.5,21.1,30.8,27.3,32.9,4.2,25.4,34.3,166.6,56.0,85.3,20.0,2
2004-08-01,25.4,22.1,31.7,28.3,33.5,7.3,25.5,111.5,185.2,47.0,80.3,8.0,1
2004-09-01,25.0,23.4,31.7,27.8,33.1,5.9,25.6,29.1,128.9,50.0,83.6,14.0,1
2004-10-01,25.0,23.2,31.6,27.8,34.2,5.0,25.6,25.3,125.6,43.0,83.9,13.0,1
2004-11-01,24.6,22.8,31.4,27.3,32.5,5.8,25.4,62.4,166.2,56.0,86.1,15.0,2
2004-12-01,24.5,23.0,30.1,26.8,32.7,4.9,24.9,36.4,139.8,58.0,85.2,14.0,1
2005-01-01,23.9,22.5,30.2,26.6,32.4,6.5,24.4,96.7,163.2,49.0,83.3,8.0,1
2005-02-01,25.3,23.5,33.4,28.5,34.7,9.1,25.3,7.2,8.4,45.0,77.7,3.0,0
2005-03-01,25.4,23.0,33.3,28.5,35.0,7.2,25.7,20.5,82.4,47.0,80.3,12.0,1
2005-04-01,25.7,23.0,33.0,28.7,35.1,7.0,26.0,49.6,81.7,42.0,81.0,10.0,1
2005-05-01,25.2,22.6,32.4,28.5,35.4,5.5,26.4,58.7,331.1,47.0,84.6,20.0,2
2005-06-01,26.1,23.6,32.0,28.8,33.9,5.4,26.4,27.6,82.3,50.0,82.7,15.0,2
2005-07-01,25.2,21.3,31.4,28.0,33.9,5.4,25.8,26.3,104.0,53.0,84.0,15.0,2
2005-08-01,25.5,22.5,31.5,28.2,33.6,6.5,25.9,13.8,58.5,54.0,82.9,13.0,1
2005-09-01,25.2,21.8,32.0,28.2,33.1,6.2,26.0,43.4,175.7,53.0,84.2,18.0,2
2005-10-01,24.7,23.0,31.3,27.6,33.0,5.1,25.6,76.2,314.5,57.0,85.2,19.0,2
