5_Resource uncertainty,10_Region,11_Basin name,38_Well count (total producer),52_Well spacing (average) (ac),72_Onshore or offshore,75_Temperature (original) (deg. F),77_Pressure (original) (psi),82_Drive mechanism (main),149_Reservoir period,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),204_Porosity (matrix average) (%),218_API gravity (average) (deg. API),225_Viscosity (oil average) (cp),252_GOR (initial average) (SCF/STB),293_Original in-place oil equivalent (MMBOE),307_Recovery factor (ultimate oil) (%)
1P ,MIDDLE EAST,SOUTH OMAN SALT,126.0,31.0,ONSHORE,147.76047038616235,2120.0962582826346,AQUIFER DRIVE,ORDOVICIAN/CAMBRIAN,1600.0,0.9,27.0,33.0,9.0,500.0,1013.0,44.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,22.0,40.0,ONSHORE,159.0,1604.0,AQUIFER DRIVE,PALEOGENE,1000.0,0.15,26.0,42.0,0.7,500.0,210.0,44.0
1P ,LATIN AMERICA,RECONCAVO,76.0,17.0,ONSHORE,122.0,1523.0,GAS DRIVE,CRETACEOUS,600.0,0.4,14.0,32.0,4.5,158.0,67.7,30.0
1P ,EUROPE,NORTH SEA CENTRAL,3.0,160.0,OFFSHORE,175.0,3510.0,GAS DRIVE,JURASSIC,75.0,0.96,23.0,40.0,0.29,1391.0,54.0,68.5
1P ,EUROPE,NORTH SEA CENTRAL,2.0,160.0,OFFSHORE,175.0,3510.0,AQUIFER DRIVE,JURASSIC,210.0,1.0,23.0,40.0,0.59,613.0,108.0,67.6
1P ,FORMER SOVIET UNION,VOLGA-URAL,25000.0,22.0,ONSHORE,104.0,2538.0,AQUIFER DRIVE,DEVONIAN,110.0,0.5,19.0,44.0,3.5,265.0,32535.0,58.0
1P ,LATIN AMERICA,CAMPOS,59.0,0.0,OFFSHORE,147.0,5149.0,GAS DRIVE,CRETACEOUS,500.0,0.5,30.0,25.0,10.0,635.0,7500.0,28.3
3P ,FORMER SOVIET UNION,SIBERIAN WESTERN,22.0,0.0,ONSHORE,167.0,4350.0,GAS DRIVE,CRETACEOUS,590.55,0.6,18.0,38.0,0.7,1500.0,664.0,33.1
1P ,NORTH AMERICA,POWDER RIVER,19.0,80.0,ONSHORE,230.06664774264945,4025.0,GAS DRIVE,PERMIAN,100.0,0.45,11.3,30.0,0.7,17.5,8.86,50.0
1P ,LATIN AMERICA,LLANOS,362.0,81.0,ONSHORE,145.0,1162.0,AQUIFER DRIVE,NEOGENE/PALEOGENE,180.0,0.67,35.0,12.5,400.0,6.5,4608.0,10.8
1P ,MIDDLE EAST,THE GULF,22.0,0.0,ONSHORE,201.7000600024128,3900.0,AQUIFER DRIVE,CRETACEOUS,500.0,0.7,23.0,30.0,0.7,500.0,1000.0,44.0
1P ,MIDDLE EAST,THE GULF,18.0,0.0,ONSHORE,197.76196539205452,3796.0,AQUIFER DRIVE,CRETACEOUS,120.0,0.55,20.0,25.0,1.3,500.0,1000.0,44.0
1P ,AFRICA,CHOTTS,7.0,1545.0,ONSHORE,226.0,8847.0,AQUIFER DRIVE,ORDOVICIAN,200.0,0.7,10.2,43.0,0.7,2952.0,1000.0,44.0
1P ,LATIN AMERICA,ORIENTE,101.0,87.0,ONSHORE,225.0,4246.0,AQUIFER DRIVE,CRETACEOUS,370.0,0.3,15.0,29.5,3.0,93.0,3451.0,34.7
1P ,LATIN AMERICA,ORIENTE,22.0,87.0,ONSHORE,220.0,4131.0,GAS DRIVE,CRETACEOUS,320.0,0.3,16.0,26.5,1.7,300.0,1245.9,39.2
1P ,MIDDLE EAST,THE GULF,223.0,62.0,OFFSHORE,159.89472440432866,2400.0,AQUIFER DRIVE,CRETACEOUS,1100.0,0.7,26.0,28.5,5.86,200.0,48000.0,33.3
1P ,AFRICA,MATRUH-SHUSHAN,23.0,107.0,ONSHORE,228.0,3426.0,AQUIFER DRIVE,CRETACEOUS,200.0,0.6,16.6,44.0,5.3,167.0,47.8,47.0
1P ,AFRICA,MATRUH-SHUSHAN,22.0,0.0,ONSHORE,200.0,2389.0,AQUIFER DRIVE,CRETACEOUS,600.0,0.6,22.0,40.0,5.0,702.0,35.0,53.4
1P ,AFRICA,MATRUH-SHUSHAN,22.0,0.0,ONSHORE,205.0,2390.0,GRAVITY DRAINAGE,CRETACEOUS,200.0,0.6,24.0,40.0,0.7,500.0,19.6,10.2
1P ,NORTH AMERICA,POWDER RIVER,22.0,8.0,ONSHORE,91.0,562.0,GAS DRIVE,CRETACEOUS,120.0,0.6,18.0,37.0,3.6,550.0,1000.0,44.0
1P ,NORTH AMERICA,POWDER RIVER,22.0,8.0,ONSHORE,110.0,600.0,GAS DRIVE,CRETACEOUS,75.0,0.6,19.0,37.0,3.6,500.0,850.0,50.0
2P ,FORMER SOVIET UNION,SIBERIAN WESTERN,200.0,0.0,ONSHORE,280.0,5300.0,COMPACTION,JURASSIC,98.43,0.6,6.1,38.5,0.47,842.0,1000.0,44.0
1P ,FORMER SOVIET UNION,SIBERIAN WESTERN,350.0,62.0,ONSHORE,181.0,3263.0,COMPACTION,CRETACEOUS,328.08,0.6,17.5,30.4,2.0,198.0,2013.0,57.3
1P ,LATIN AMERICA,EASTERN VENEZUELA,68.0,400.0,OFFSHORE,143.79776268448938,1800.0,AQUIFER DRIVE,NEOGENE,7500.0,0.2,23.0,37.0,0.7,3350.0,1000.0,50.0
1P ,ASIA-PACIFIC,SABAH,87.0,50.0,OFFSHORE,176.0,2835.0,AQUIFER DRIVE,NEOGENE,6739.0,0.6,23.0,37.0,0.4,725.0,969.0,53.7
1P ,FORMER SOVIET UNION,SIBERIAN WESTERN,13400.0,25.0,ONSHORE,158.0,2572.0,AQUIFER DRIVE,CRETACEOUS,2300.0,0.21,24.0,37.0,1.0,325.0,55000.0,47.6
1P ,ASIA-PACIFIC,CAMBAY,62.0,44.0,ONSHORE,185.0,2020.0,GAS DRIVE,PALEOGENE,200.0,0.75,25.0,22.3,19.0,123.5,83.9,36.4
2P ,NORTH AMERICA,WILLISTON,22.0,0.0,ONSHORE,210.0,6000.0,GAS DRIVE,CARBONIFEROUS/DEVONIAN,200.0,0.6,20.0,42.0,0.95,1000.0,2800.0,12.5
1P ,LATIN AMERICA,EASTERN VENEZUELA,22.0,200.0,ONSHORE,290.0,12000.0,GAS DRIVE,NEOGENE/PALEOGENE/CRETACEOUS,2950.0,0.68,12.0,33.0,0.7,1600.0,9777.0,33.0
1P ,LATIN AMERICA,EASTERN VENEZUELA,107.0,40.0,ONSHORE,180.0,2350.0,GAS DRIVE,NEOGENE,5750.0,0.23,19.0,44.0,0.38,500.0,1000.0,19.0
1P ,LATIN AMERICA,EASTERN VENEZUELA,54.0,40.0,ONSHORE,280.0,4445.0,GAS DRIVE,NEOGENE,200.0,0.6,15.0,45.0,0.38,1881.0,409.8,65.4
1P ,ASIA-PACIFIC,CAMBAY,120.0,22.0,ONSHORE,158.0,1465.0,AQUIFER DRIVE,PALEOGENE,160.0,0.6,28.0,17.0,60.0,85.0,355.0,45.0
1P ,AFRICA,SIRT,288.0,1000.0,ONSHORE,90.0,3924.0,AQUIFER DRIVE,CRETACEOUS,1200.0,0.6,18.5,36.8,7.0,143.0,12000.0,54.2
1P ,NORTH AMERICA,VENTURA,34.0,0.0,ONSHORE,160.0,3030.0,GAS DRIVE,NEOGENE,1400.0,0.54,22.0,32.7,0.7,550.0,1000.0,44.0
1P ,AFRICA,GULF OF SUEZ,1.0,1000.0,OFFSHORE,136.0,1900.0,GAS DRIVE,NEOGENE,100.0,0.6,26.0,29.5,1.4,65.0,23.0,30.0
1P ,EUROPE,NORTH SEA CENTRAL,10.0,179.0,OFFSHORE,185.0,3765.0,AQUIFER DRIVE,CRETACEOUS,400.0,0.27,20.0,32.5,1.35,228.0,239.0,56.0
1P ,EUROPE,FAEROE-SHETLAND,22.0,247.0,OFFSHORE,150.0,2907.0,GAS DRIVE,PALEOGENE,820.0,0.6,28.0,26.0,3.0,342.0,1900.0,35.0
1P ,EUROPE,LOWER SAXONY,22.0,5.6,ONSHORE,104.0,1233.0,AQUIFER DRIVE,CRETACEOUS,100.0,0.6,33.0,25.0,160.0,76.0,1032.0,36.2
1P ,EUROPE,NORTH SEA CENTRAL,34.0,106.0,OFFSHORE,190.0,7879.0,AQUIFER DRIVE,JURASSIC,360.0,0.8,17.0,36.0,0.44,990.0,946.0,46.6
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,20.0,40.0,ONSHORE,171.0,3010.0,GAS DRIVE,PALEOGENE,200.0,0.6,19.0,41.0,0.7,600.0,7.4,54.0
1P ,ASIA-PACIFIC,MALAY,140.0,90.0,OFFSHORE,148.65884821915031,2162.205903405465,AQUIFER DRIVE,NEOGENE/PALEOGENE,3494.0,0.35,24.0,50.0,0.7,630.0,1850.0,42.0
1P ,AFRICA,LOWER CONGO,55.0,90.0,OFFSHORE,142.985530671103,1769.0,AQUIFER DRIVE,CRETACEOUS,200.0,0.6,25.0,29.8,12.0,85.0,513.0,39.4
1P ,ASIA-PACIFIC,KUTAI,22.0,80.0,OFFSHORE,202.0,2621.0,AQUIFER DRIVE,NEOGENE,500.0,0.6,28.0,41.0,0.38,919.0,113.0,50.6
1P ,ASIA-PACIFIC,SARAWAK,770.0,0.0,ONSHORE-OFFSHORE,161.0,2226.0,AQUIFER DRIVE,NEOGENE,4000.0,0.6,21.0,30.0,6.0,560.0,3200.0,38.0
1P ,ASIA-PACIFIC,TURPAN,244.0,18.0,ONSHORE,187.0,4183.0,GAS DRIVE,JURASSIC,951.0,0.33,13.0,41.0,0.39,904.0,278.0,30.3
1P ,ASIA-PACIFIC,BOHAI,2038.0,18.0,ONSHORE,185.0,2828.0,AQUIFER DRIVE,PALEOGENE,2300.0,0.15,28.0,29.0,20.0,265.0,3420.0,37.8
1P ,ASIA-PACIFIC,NANXIANG,607.0,30.0,ONSHORE,170.0,2538.0,AQUIFER DRIVE,PALEOGENE,3940.0,0.42,18.0,33.0,5.5,128.0,752.0,44.0
1P ,ASIA-PACIFIC,NANXIANG,22.0,0.0,ONSHORE,153.7,2002.0,AQUIFER DRIVE,PALEOGENE,3445.0,0.6,20.9,31.5,5.5,128.0,22.0,53.2
1P ,ASIA-PACIFIC,NANXIANG,35.0,30.0,ONSHORE,176.5,2415.0,AQUIFER DRIVE,PALEOGENE,200.0,0.42,19.2,33.0,2.6,129.0,38.7,45.0
1P ,LATIN AMERICA,ORIENTE,22.0,50.0,ONSHORE,217.4524384438457,4042.0,AQUIFER DRIVE,CRETACEOUS,470.0,0.41,18.0,33.0,1.7,270.0,3500.0,45.0
1P ,AFRICA,GULF OF SUEZ,15.0,60.0,OFFSHORE,282.0,5340.0,GAS DRIVE,CRETACEOUS/JURASSIC/TRIASSIC/PALEOZOIC,850.0,0.9,13.0,32.0,0.38,991.0,295.0,27.5
1P ,EUROPE,NORTH SEA CENTRAL,9.0,0.0,OFFSHORE,184.5939615386692,3365.0,AQUIFER DRIVE,PALEOGENE,330.0,0.7,31.0,35.0,0.7,562.0,150.0,44.0
1P ,ASIA-PACIFIC,PHITSANULOK,127.0,68.0,ONSHORE,160.0,2760.0,GAS DRIVE,NEOGENE,1050.0,0.15,26.0,39.0,0.7,500.0,800.0,19.0
1P ,EUROPE,NORTH SEA NORTHERN,59.0,170.0,OFFSHORE,196.0,5555.0,AQUIFER DRIVE,TRIASSIC,2750.0,0.33,24.0,64.0,0.7,590.0,3222.0,48.8
1P ,EUROPE,NORTH SEA NORTHERN,49.0,170.0,OFFSHORE,190.0,3858.705441847165,AQUIFER DRIVE,JURASSIC/TRIASSIC,230.0,0.41,23.0,56.0,0.77,440.0,805.0,55.0
1P ,NORTH AMERICA,SAN JOAQUIN,5516.0,1.25,ONSHORE,128.0,425.9040976558846,GAS DRIVE,NEOGENE,1000.0,0.6,60.0,30.0,3.0,200.0,2500.0,28.0
1P ,NORTH AMERICA,SAN JOAQUIN,5704.0,5.0,ONSHORE,92.0,200.0,GAS DRIVE,NEOGENE,200.0,0.6,36.0,13.0,1800.0,35.0,3000.0,50.0
1P ,NORTH AMERICA,WIND RIVER,87.0,5.0,ONSHORE,90.0,900.0,AQUIFER DRIVE,PERMIAN/CARBONIFEROUS,300.0,0.57,21.0,13.7,580.0,500.0,48.7,54.0
1P ,ASIA-PACIFIC,SABAH,23.0,0.0,OFFSHORE,115.67730585740011,616.2627673892273,GAS DRIVE,NEOGENE,4500.0,0.3,25.0,32.0,0.7,650.0,549.0,10.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,62.0,0.0,OFFSHORE,186.0,8375.0,AQUIFER DRIVE,NEOGENE,6000.0,0.06,31.0,33.0,0.7,177.0,112.0,42.8
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,62.0,0.0,OFFSHORE,186.0,8375.0,AQUIFER DRIVE,NEOGENE,600.0,0.5,29.0,33.0,0.7,171.0,63.0,48.3
1P ,NORTH AMERICA,WILLISTON,22.0,80.0,ONSHORE,91.0,1830.0,GAS DRIVE,TRIASSIC/CARBONIFEROUS,43.0,0.36,13.0,36.5,7.7,121.0,93.0,18.5
2P ,ASIA-PACIFIC,SARAWAK,286.0,0.0,OFFSHORE,143.61316449962882,2756.0,AQUIFER DRIVE,NEOGENE,8202.1,0.6,25.0,41.06,0.35,797.27,5184.39,39.2
1P ,NORTH AMERICA,DENVER,22.0,40.0,ONSHORE,137.0,1450.0,GAS DRIVE,CRETACEOUS,1350.0,0.04,14.3,41.5,0.7,680.0,688.0,8.75
1P ,NORTH AMERICA,PERMIAN,22.0,160.0,ONSHORE,160.0,3227.0,GAS DRIVE,PERMIAN,200.0,0.6,7.0,38.0,0.7,1495.0,1000.0,15.0
1P ,NORTH AMERICA,PERMIAN,22.0,80.0,ONSHORE,144.0,2500.0,GAS DRIVE,PERMIAN,200.0,0.6,10.0,38.0,0.7,613.0,1000.0,15.0
1P ,NORTH AMERICA,PERMIAN,22.0,80.0,ONSHORE,140.0,2300.0,GAS DRIVE,PERMIAN,250.0,0.6,10.0,38.0,0.7,263.0,1000.0,5.0
1P ,FORMER SOVIET UNION,SIBERIAN EASTERN,83.0,3700.0,ONSHORE,50.0,2150.0,AQUIFER DRIVE,PROTEROZOIC,98.43,0.23,18.0,32.0,15.0,340.0,2249.0,29.0
1P ,ASIA-PACIFIC,SABAH,21.0,0.0,OFFSHORE,115.18504403110532,1060.0,GAS DRIVE,NEOGENE,800.0,0.8,21.0,34.0,0.7,500.0,550.0,42.0
1P ,ASIA-PACIFIC,CARNARVON,22.0,90.0,OFFSHORE,125.0,1050.0,AQUIFER DRIVE,CRETACEOUS,72.0,0.8,35.0,19.0,9.0,120.0,1000.0,44.0
1P ,FORMER SOVIET UNION,TEREK-CASPIAN,22.0,36.0,ONSHORE,75.0,1044.0,AQUIFER DRIVE,NEOGENE,1800.0,0.6,16.0,33.5,0.9,430.0,748.0,53.5
1P ,FORMER SOVIET UNION,TEREK-CASPIAN,22.0,36.0,ONSHORE,285.87683229882,9500.0,GAS DRIVE,CRETACEOUS,980.0,0.6,7.0,41.0,0.9,2500.0,320.0,37.8
1P ,EUROPE,NORTH SEA NORTHERN,22.0,0.0,OFFSHORE,192.0,5561.0,AQUIFER DRIVE,JURASSIC,660.0,0.75,27.0,38.4,0.37,1039.0,7400.0,66.0
1P ,EUROPE,NORTH SEA NORTHERN,22.0,0.0,OFFSHORE,206.0,5864.0,AQUIFER DRIVE,JURASSIC/TRIASSIC,610.0,0.6,22.0,39.6,0.36,879.0,1512.0,69.6
2P ,ASIA-PACIFIC,CARNARVON,4.0,0.0,OFFSHORE,152.87999337962805,3400.0,AQUIFER DRIVE,CRETACEOUS,46.0,0.75,28.0,22.0,3.5,500.0,1000.0,44.0
3P ,MIDDLE EAST,MESOPOTAMIAN,12.0,0.0,ONSHORE,200.34633998010213,4584.952609102554,AQUIFER DRIVE,CRETACEOUS,755.0,0.6,20.0,31.0,0.7,600.0,1429.0,47.0
3P ,MIDDLE EAST,MESOPOTAMIAN,12.0,0.0,ONSHORE,214.68346567093755,5256.976397706628,AQUIFER DRIVE,CRETACEOUS,1482.0,0.6,24.0,31.0,9.7,600.0,1213.0,38.0
1P ,NORTH AMERICA,WESTERN CANADA,258.0,2.5,ONSHORE,82.4,1424.0,AQUIFER DRIVE,CRETACEOUS,200.0,0.4,26.5,14.0,97.4,152.0,223.0,22.0
1P ,ASIA-PACIFIC,BOHAI,183.0,30.0,OFFSHORE,145.0,2074.0,AQUIFER DRIVE,PALEOGENE,980.0,0.6,32.0,16.0,70.0,168.0,1886.0,22.0
1P ,FORMER SOVIET UNION,SIBERIAN WESTERN,2075.0,60.0,ONSHORE,180.0,3898.0,AQUIFER DRIVE,CRETACEOUS,200.0,0.6,19.0,40.0,1.3,519.0,3976.3,30.0
1P ,NORTH AMERICA,WESTERN CANADA,22.0,40.0,ONSHORE,90.0,1468.0,AQUIFER DRIVE,CRETACEOUS,190.0,0.2,17.0,20.0,0.7,214.0,13.0,28.0
1P ,NORTH AMERICA,WESTERN CANADA,22.0,40.0,ONSHORE,86.0,1567.0,AQUIFER DRIVE,CRETACEOUS,165.0,0.5,25.0,29.5,1.8,96.0,58.0,64.0
2P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,3.0,0.0,OFFSHORE,200.0,20000.0,GAS DRIVE,NEOGENE,200.0,0.6,20.0,30.0,0.7,600.0,1000.0,44.0
1P ,AFRICA,LOWER CONGO,75.0,0.0,OFFSHORE,133.0,1525.0,GAS DRIVE,CRETACEOUS,550.0,0.35,25.0,31.0,1.75,446.0,2200.0,46.0
1P ,LATIN AMERICA,TALARA,22.0,40.0,ONSHORE,140.0,2098.753013494351,GAS DRIVE,PALEOGENE,1300.0,0.45,5.0,33.0,0.7,500.0,1000.0,44.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,22.0,10.0,ONSHORE,147.0,1920.0,AQUIFER DRIVE,CRETACEOUS,180.0,0.6,25.0,20.0,30.0,20.0,1000.0,44.0
1P ,FORMER SOVIET UNION,SIBERIAN WESTERN,5140.0,40.0,ONSHORE,205.0,3699.0,AQUIFER DRIVE,JURASSIC,110.0,0.7,15.0,42.0,0.28,930.0,10750.0,31.0
1P ,LATIN AMERICA,GUYANA,1120.0,10.0,ONSHORE,98.0,433.0,AQUIFER DRIVE,PALEOGENE,400.0,0.6,39.0,16.0,500.0,30.0,900.0,14.2
1P ,ASIA-PACIFIC,BARITO,125.0,40.0,ONSHORE,150.0,1600.0,GAS DRIVE,PALEOGENE,200.0,0.3,21.0,40.0,1.2,1315.0,620.0,27.0
1P ,ASIA-PACIFIC,MALAY,22.0,125.0,OFFSHORE,158.1348883753248,2927.0,GAS DRIVE,NEOGENE,330.0,0.5,20.0,45.0,0.28,675.0,850.0,57.0
1P ,FORMER SOVIET UNION,SIBERIAN WESTERN,22.0,90.0,ONSHORE,188.06,3567.93,AQUIFER DRIVE,CRETACEOUS,52.49,0.63,18.0,41.06,0.55,925.85,1000.0,39.8
1P ,LATIN AMERICA,EASTERN VENEZUELA,118.0,0.0,OFFSHORE,172.0,1935.0,AQUIFER DRIVE,NEOGENE,13000.0,0.6,25.0,30.0,0.7,550.0,1186.0,50.0
1P ,LATIN AMERICA,EASTERN VENEZUELA,22.0,0.0,OFFSHORE,172.47201406616026,3278.399921387338,AQUIFER DRIVE,NEOGENE,200.0,0.6,29.0,30.0,0.7,550.0,134.0,56.0
1P ,EUROPE,NORTH SEA CENTRAL,5.0,0.0,OFFSHORE,212.6159660004995,4649.0,GAS DRIVE,JURASSIC,240.0,0.8,17.5,39.0,0.7,2000.0,230.0,44.0
1P ,ASIA-PACIFIC,SARAWAK,22.0,0.0,OFFSHORE,125.2025721962041,1553.0,AQUIFER DRIVE,NEOGENE/PALEOGENE,200.0,0.6,25.0,35.0,0.7,450.0,498.0,30.0
1P ,ASIA-PACIFIC,SABAH,22.0,180.0,OFFSHORE,170.0,2450.0,GAS DRIVE,NEOGENE,1000.0,0.3,25.0,37.5,0.7,600.0,150.0,23.0
1P ,EUROPE,NORTH SEA NORTHERN,18.0,120.0,OFFSHORE,200.0,3580.0,AQUIFER DRIVE,JURASSIC,200.0,0.62,22.0,34.0,1.26,177.0,631.0,42.0
1P ,NORTH AMERICA,JEANNE D ARC,15.0,740.0,OFFSHORE,205.0,5193.0,GAS DRIVE,JURASSIC,394.0,0.54,18.0,33.0,0.69,731.0,1000.0,44.0
1P ,EUROPE,NORTH SEA NORTHERN,7.0,140.0,OFFSHORE,260.0,6655.0,AQUIFER DRIVE,JURASSIC,1000.0,0.52,13.5,38.5,0.13,2720.0,1000.0,25.8
1P ,EUROPE,NORTH SEA NORTHERN,40.0,100.0,OFFSHORE,220.0,6060.0,AQUIFER DRIVE,JURASSIC,475.0,0.7,24.0,38.4,0.88,290.0,824.0,50.0
1P ,NORTH AMERICA,PERMIAN,92.0,40.0,ONSHORE,121.0,3200.0,GAS DRIVE,DEVONIAN,90.0,0.77,15.0,41.5,2.38,669.0,141.0,30.5
1P ,MIDDLE EAST,SOUTH OMAN SALT,22.0,22.24,ONSHORE,122.0,1392.36,GAS DRIVE,PERMIAN,426.51,0.7,26.0,22.0,66.0,16.84,1000.0,44.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,8.0,0.0,OFFSHORE,166.0,12637.0,AQUIFER DRIVE,NEOGENE,1600.0,0.5,23.0,32.0,0.7,1356.0,1598.0,26.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,7.0,0.0,OFFSHORE,203.0,13288.0,AQUIFER DRIVE,NEOGENE,2150.0,0.67,23.0,33.5,0.7,942.0,2344.0,27.0
1P ,LATIN AMERICA,MARACAIBO,162.0,20.0,OFFSHORE,130.0,1580.0,COMPACTION,NEOGENE,200.0,0.6,28.0,19.0,0.7,503.0,525.0,49.0
1P ,LATIN AMERICA,MARACAIBO,22.0,50.0,OFFSHORE,130.0,1580.0,GAS DRIVE,NEOGENE,200.0,0.6,31.0,19.0,0.7,503.0,6900.0,24.5
1P ,LATIN AMERICA,MARACAIBO,425.0,33.0,OFFSHORE,120.0,1198.0,COMPACTION,NEOGENE,650.0,0.35,24.0,17.0,93.0,598.0,3636.0,15.0
1P ,LATIN AMERICA,MARACAIBO,22.0,50.0,OFFSHORE,160.0,1798.7938975509016,GAS DRIVE,NEOGENE,200.0,0.6,31.0,26.0,0.7,500.0,5979.0,47.0
1P ,LATIN AMERICA,MARACAIBO,22.0,22.0,OFFSHORE,135.98310619205975,1450.0,AQUIFER DRIVE,NEOGENE,2500.0,0.6,20.0,28.0,0.7,500.0,1222.0,28.0
1P ,LATIN AMERICA,MARACAIBO,2700.0,13.0,ONSHORE,113.0,960.0,COMPACTION,NEOGENE,200.0,0.6,35.0,12.0,2000.0,0.0,10700.0,23.0
1P ,LATIN AMERICA,MARACAIBO,132.0,13.0,ONSHORE,113.0,850.0,COMPACTION,NEOGENE,200.0,0.6,38.0,12.0,2000.0,0.0,828.0,30.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,22.0,30.0,ONSHORE,206.0,4165.0,GAS DRIVE,PALEOGENE,3300.0,0.6,27.0,40.5,0.3,4000.0,1000.0,44.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,550.0,22.0,ONSHORE-OFFSHORE,180.0,3497.0,AQUIFER DRIVE,NEOGENE,16000.0,0.48,30.0,39.0,0.39,722.0,1000.0,49.0
2P ,AFRICA,ILLIZI (GHADAMES),279.0,2360.0,ONSHORE,190.0,2750.0,GAS DRIVE,ORDOVICIAN,460.0,0.6,6.0,41.0,0.7,500.0,3670.0,42.0
1P ,ASIA-PACIFIC,COOPER,51.0,260.0,ONSHORE,285.0,4260.0,GAS DRIVE,PERMIAN/CARBONIFEROUS,115.0,0.37,10.0,51.0,0.09,2714.0,163.2,23.1
1P ,EUROPE,NORTH SEA NORTHERN,22.0,0.0,OFFSHORE,154.0,2292.0,AQUIFER DRIVE,JURASSIC,440.0,0.9,28.0,28.0,1.7,350.0,4222.0,37.0
2P ,ASIA-PACIFIC,SUPHAN BURI,9.0,0.0,ONSHORE,179.01,1400.0,AQUIFER DRIVE,NEOGENE,1640.42,0.6,20.0,31.14,3.4,44.69,1000.0,23.0
1P ,AFRICA,NIGER DELTA,108.0,158.0,OFFSHORE,157.70415927731688,2507.0,GAS DRIVE,NEOGENE,3000.0,0.6,27.0,36.0,0.64,612.0,1000.0,53.5
1P ,EUROPE,NORTH SEA CENTRAL,28.0,80.0,OFFSHORE,289.0,7005.0,AQUIFER DRIVE,JURASSIC,410.0,0.93,16.5,39.0,0.34,500.0,868.0,64.0
2P ,NORTH AMERICA,NORTH SLOPE,22.0,0.0,ONSHORE,31.0,50.0,GAS DRIVE,CRETACEOUS,650.0,0.6,14.0,37.0,2.9,71.0,1520.0,10.16
1P ,AFRICA,MUGLAD,22.0,150.0,ONSHORE,279.0,3312.0,AQUIFER DRIVE,CRETACEOUS,2700.0,0.04,27.0,32.0,8.5,28.0,1000.0,32.0
1P ,LATIN AMERICA,POTIGUAR,36.0,40.0,ONSHORE,190.0,2852.1118700753977,AQUIFER DRIVE,CRETACEOUS,200.0,0.5,18.0,37.0,0.7,555.0,34.0,35.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,1.0,0.0,OFFSHORE,251.91076628448025,7001.930870262268,GAS DRIVE,NEOGENE,90.0,0.5,24.0,32.0,0.7,500.0,1000.0,44.0
1P ,FORMER SOVIET UNION,TIMAN-PECHORA,850.0,0.0,ONSHORE,169.0,5200.0,GAS DRIVE,DEVONIAN,249.0,0.35,12.5,36.0,2.1,300.0,2310.0,37.0
1P ,FORMER SOVIET UNION,CASPIAN MIDDLE,3650.0,0.0,ONSHORE,128.0,1624.0,AQUIFER DRIVE,JURASSIC,1020.0,0.46,21.5,35.0,3.7,441.5,8400.0,34.0
1P ,FORMER SOVIET UNION,SIBERIAN WESTERN,22.0,62.02,ONSHORE,189.0213644043644,4054.117268995247,GAS DRIVE,JURASSIC,164.04,0.57,16.0,35.6,1.15,338.0,1000.0,32.8
1P ,NORTH AMERICA,WESTERN CANADA,225.0,60.0,ONSHORE,84.0,557.0,GAS DRIVE,CRETACEOUS,82.0,0.44,24.0,38.0,5.0,107.0,279.0,28.5
1P ,FORMER SOVIET UNION,SIBERIAN WESTERN,1175.0,64.0,ONSHORE,183.0,3698.0,AQUIFER DRIVE,CRETACEOUS,3150.0,0.5,23.6,42.0,0.3,1137.0,5293.0,30.0
1P ,NORTH AMERICA,VENTURA,937.0,6.0,ONSHORE,180.0,6186.0,GAS DRIVE,NEOGENE,6000.0,0.65,17.0,27.5,1.6,1000.0,1000.0,44.0
1P ,FORMER SOVIET UNION,SIBERIAN EASTERN,22.0,0.0,ONSHORE,61.0,2200.0,AQUIFER DRIVE,PROTEROZOIC,200.0,0.53,10.0,34.5,4.0,500.0,1830.0,40.0
1P ,LATIN AMERICA,CAMPOS,76.0,16.0,OFFSHORE,203.0,4134.0,AQUIFER DRIVE,PALEOGENE,500.0,0.6,24.4,24.0,5.5,126.0,361.6,33.6
1P ,EUROPE,NORTH SEA NORTHERN,42.0,0.0,OFFSHORE,243.0,4714.0,GAS DRIVE,JURASSIC,459.0,0.65,18.0,37.0,0.31,662.0,708.0,48.0
1P ,EUROPE,NORTH SEA NORTHERN,37.0,0.0,OFFSHORE,262.0,5062.0,GAS DRIVE,JURASSIC,164.0,0.5,22.0,39.0,0.31,725.0,170.0,45.3
