5_Resource uncertainty,10_Region,11_Basin name,38_Well count (total producer),52_Well spacing (average) (ac),72_Onshore or offshore,75_Temperature (original) (deg. F),77_Pressure (original) (psi),82_Drive mechanism (main),149_Reservoir period,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),204_Porosity (matrix average) (%),218_API gravity (average) (deg. API),225_Viscosity (oil average) (cp),252_GOR (initial average) (SCF/STB),293_Original in-place oil equivalent (MMBOE),307_Recovery factor (ultimate oil) (%)
1P ,EUROPE,NORTH SEA NORTHERN,45.0,241.0,OFFSHORE,208.0,3539.0,AQUIFER DRIVE,JURASSIC/TRIASSIC,312.0,0.8,24.0,36.0,0.79,336.0,963.0,36.0
1P ,ASIA-PACIFIC,GIPPSLAND,49.0,160.0,OFFSHORE,214.0,2777.0,AQUIFER DRIVE,PALEOGENE,106.0,0.65,21.0,45.0,0.2,1300.0,226.0,44.0
1P ,EUROPE,NORTH SEA NORTHERN,173.0,210.0,OFFSHORE,204.0,5785.0,AQUIFER DRIVE,JURASSIC,810.0,0.58,21.0,30.0,0.26,1580.0,4990.0,54.0
1P ,EUROPE,NORTH SEA NORTHERN,22.0,210.0,OFFSHORE,207.0,6020.0,AQUIFER DRIVE,JURASSIC/TRIASSIC,850.0,0.61,23.0,34.0,0.23,2170.0,1610.0,54.84
1P ,NORTH AMERICA,GREATER GREEN RIVER,9.0,320.0,ONSHORE,225.0,7230.0,GAS DRIVE,CRETACEOUS,270.0,0.29,12.8,40.0,0.52,859.0,63.0,21.6
1P ,AFRICA,SIRT,22.0,0.0,ONSHORE,293.0,6898.0,AQUIFER DRIVE,CRETACEOUS,1000.0,0.5,12.5,41.0,0.21,2100.0,3900.0,59.0
2P ,ASIA-PACIFIC,WESTERN,28.0,0.0,OFFSHORE,116.0,1600.0,AQUIFER DRIVE,NEOGENE,2624.67,0.6,30.0,27.0,8.5,4.0,1000.0,24.97
1P ,LATIN AMERICA,EASTERN VENEZUELA,22.0,40.0,ONSHORE,153.4584010255244,1600.0,AQUIFER DRIVE,NEOGENE/PALEOGENE,170.0,0.6,18.0,30.0,0.7,300.0,622.0,73.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,24.0,85.0,OFFSHORE,162.0,8550.0,AQUIFER DRIVE,NEOGENE,330.0,0.6,32.0,29.0,0.86,1760.0,346.0,41.0
1P ,ASIA-PACIFIC,TARAKAN,22.0,0.0,ONSHORE,207.99,1385.7,AQUIFER DRIVE,NEOGENE,8202.1,0.08,25.0,33.24,33.0,240.0,1000.0,33.33
1P ,EUROPE,NORTH SEA CENTRAL,10.0,450.0,OFFSHORE,196.2851799131702,4628.0,GAS DRIVE,JURASSIC,486.0,0.54,24.0,32.6,0.7,271.0,1200.0,46.0
1P ,ASIA-PACIFIC,JUNGGAR,121.0,31.5,ONSHORE,172.4,3162.0,AQUIFER DRIVE,JURASSIC,967.85,0.46,20.0,39.8,1.55,393.0,92.2,55.7
1P ,ASIA-PACIFIC,JUNGGAR,220.0,32.0,ONSHORE,170.2,3085.0,GAS DRIVE,JURASSIC,459.32,0.6,16.0,39.0,3.35,505.0,175.3,31.1
1P ,LATIN AMERICA,LLANOS,178.0,0.0,ONSHORE,207.0,3213.0,AQUIFER DRIVE,PALEOGENE,235.0,0.61,24.0,29.5,4.0,8.0,1800.0,65.0
1P ,EUROPE,NORTH SEA CENTRAL,54.0,90.0,OFFSHORE,87.0,1340.0,AQUIFER DRIVE,CRETACEOUS,78.74,0.95,31.0,20.0,88.0,130.0,1000.0,33.0
2P ,LATIN AMERICA,EASTERN VENEZUELA,350.0,22.0,ONSHORE,131.0,1143.0,GAS DRIVE,NEOGENE,940.0,0.4,32.0,8.5,5500.0,90.0,24200.0,12.0
1P ,NORTH AMERICA,WESTERN CANADA,30.0,320.0,ONSHORE,173.0,4188.0,GAS DRIVE,CRETACEOUS,300.0,0.02,11.0,42.0,0.25,1700.0,69.0,25.0
1P ,NORTH AMERICA,WESTERN CANADA,22.0,1480.0,ONSHORE,192.0,2597.0,GAS DRIVE,CRETACEOUS,160.0,0.06,9.5,39.0,0.7,500.0,130.0,11.0
1P ,NORTH AMERICA,VENTURA,200.0,5.0,OFFSHORE,125.0,1500.0,AQUIFER DRIVE,NEOGENE,2000.0,0.75,28.0,25.0,8.0,270.0,521.0,44.0
1P ,LATIN AMERICA,MIDDLE MAGDALENA,22.0,13.0,ONSHORE,132.0,1760.0,GAS DRIVE,NEOGENE/PALEOGENE,2600.0,0.24,24.0,20.0,32.0,220.0,1300.0,24.0
1P ,NORTH AMERICA,SANTA MARIA,22.0,5.0,ONSHORE,79.0,1900.0,GAS DRIVE,NEOGENE,1000.0,0.3,30.0,18.0,0.7,500.0,1000.0,44.0
1P ,EUROPE,AQUITAINE,14.0,0.0,ONSHORE,234.0,4583.0,AQUIFER DRIVE,CRETACEOUS,197.0,0.67,12.0,37.6,1.2,170.0,61.3,54.6
1P ,EUROPE,AQUITAINE,27.0,60.0,ONSHORE,201.0,3541.0,AQUIFER DRIVE,CRETACEOUS,656.0,0.1,18.0,34.4,2.0,60.0,171.1,33.0
1P ,EUROPE,AQUITAINE,50.0,60.0,ONSHORE,201.0,3541.0,AQUIFER DRIVE,CRETACEOUS,853.0,0.23,16.0,36.0,1.6,110.0,233.0,38.6
1P ,AFRICA,RIO MUNI,10.0,350.0,OFFSHORE,205.0,3493.0,GAS DRIVE,CRETACEOUS,770.0,0.6,26.0,31.0,0.7,575.0,1000.0,44.0
1P ,NORTH AMERICA,WESTERN CANADA,22.0,10.0,ONSHORE,70.0,421.0,GAS DRIVE,CRETACEOUS,150.0,0.73,34.0,12.0,3000.0,5.6,1303.0,9.1
1P ,LATIN AMERICA,NEUQUEN,22.0,22.24,ONSHORE,185.0,3769.82,AQUIFER DRIVE,JURASSIC,2290.03,0.44,12.5,45.38,3.0,500.0,1000.0,34.7
1P ,LATIN AMERICA,MARACAIBO,137.0,22.0,ONSHORE-OFFSHORE,190.37803799763284,4117.7086015752575,AQUIFER DRIVE,NEOGENE,1800.0,0.6,24.0,30.0,0.7,500.0,1000.0,44.0
1P ,LATIN AMERICA,MARACAIBO,95.0,0.0,ONSHORE-OFFSHORE,302.0,7100.0,AQUIFER DRIVE,PALEOGENE,3000.0,0.4,14.0,22.5,0.7,1010.0,5200.0,22.0
1P ,LATIN AMERICA,MARACAIBO,35.0,0.0,OFFSHORE,309.0,9550.0,AQUIFER DRIVE,PALEOGENE,3000.0,0.4,15.0,37.0,0.25,585.0,2780.0,17.0
1P ,ASIA-PACIFIC,BROWSE,16.0,240.0,OFFSHORE,158.0,2078.0,AQUIFER DRIVE,TRIASSIC,656.0,0.8,29.0,40.0,0.7,349.0,1000.0,50.0
1P ,ASIA-PACIFIC,NW BORNEO-SABAH,260.0,0.0,OFFSHORE,129.0,1102.0,GAS DRIVE,NEOGENE,8858.0,0.5,25.0,22.0,5.0,496.0,2684.0,27.0
1P ,ASIA-PACIFIC,SONGLIAO,2981.0,7.0,ONSHORE,138.0,1221.0,GAS DRIVE,CRETACEOUS,820.0,0.12,17.0,32.0,10.4,123.0,1199.0,21.0
1P ,LATIN AMERICA,NEUQUEN,299.0,30.0,ONSHORE,187.0,3058.0,GAS DRIVE,JURASSIC,490.0,0.13,15.0,33.0,1.46,600.0,893.0,21.0
1P ,EUROPE,PARIS,321.0,40.0,ONSHORE,85.0,798.0,AQUIFER DRIVE,CRETACEOUS,28.0,0.6,27.0,27.0,40.0,3.0,39.0,42.3
1P ,EUROPE,PARIS,321.0,40.0,ONSHORE,85.0,798.0,AQUIFER DRIVE,CRETACEOUS,20.0,0.6,27.0,27.0,40.0,3.0,39.0,42.3
1P ,EUROPE,PARIS,94.0,80.0,ONSHORE,212.0,3350.0,GAS DRIVE,TRIASSIC,217.0,0.38,13.0,37.0,1.54,96.0,235.0,34.0
2P ,FORMER SOVIET UNION,NORTH SAKHALIN,22.0,0.0,OFFSHORE,180.08976582807196,2900.0,AQUIFER DRIVE,NEOGENE,130.0,0.4,23.0,23.5,6.0,178.0,1000.0,44.0
2P ,FORMER SOVIET UNION,NORTH SAKHALIN,9.0,440.0,OFFSHORE,167.0,3343.0,GAS DRIVE,NEOGENE,620.0,0.4,22.0,38.0,0.7,900.0,1000.0,44.0
1P ,FORMER SOVIET UNION,CASPIAN SOUTH,400.0,0.0,ONSHORE,198.0,4713.0,AQUIFER DRIVE,NEOGENE,7500.0,0.35,19.0,35.0,2.0,2000.0,492.0,35.0
1P ,ASIA-PACIFIC,BOHAI,345.0,62.0,OFFSHORE,130.0,2020.0,AQUIFER DRIVE,NEOGENE,945.0,0.25,33.8,26.0,64.8,152.0,1688.0,31.4
