5_Resource uncertainty,10_Region,11_Basin name,38_Well count (total producer),52_Well spacing (average) (ac),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,75_Temperature (original) (deg. F),76_Pressure_Temp_depth (ft TVDSS),77_Pressure (original) (psi),82_Drive mechanism (main),117_Reservoir top subsea depth (ft TVDSS),149_Reservoir period,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),204_Porosity (matrix average) (%),218_API gravity (average) (deg. API),293_Original in-place oil equivalent (MMBOE),225_Viscosity (oil average) (cp),252_GOR (initial average) (SCF/STB),307_Recovery factor (ultimate oil) (%)
1P ,ASIA-PACIFIC,CARNARVON,471.0,30.0,45000.0,ONSHORE,150.0,1943.5,995.0,GAS DRIVE,1837.0,CRETACEOUS,110.0,0.63,27.0,37.7,1250.0,1.76,225.0,27.4
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,22.0,18.6,5000.0,OFFSHORE,140.33962335476855,6000.0,1772.259052678981,AQUIFER DRIVE,2982.0,NEOGENE,16000.0,0.48,29.0,0.0,1000.0,1.5,450.0,44.0
1P ,ASIA-PACIFIC,KUTAI,82.0,0.0,57911.0,OFFSHORE,275.0,9842.0,4380.0,AQUIFER DRIVE,3610.0,NEOGENE,200.0,0.2,25.0,41.0,617.0,0.45,400.0,42.0
1P ,ASIA-PACIFIC,SUMATRA CENTRAL,140.0,16.0,106100.0,ONSHORE,191.0,1990.0,871.0,AQUIFER DRIVE,1800.0,NEOGENE/PALEOGENE,825.0,0.8,24.0,36.0,1179.0,4.1,110.0,48.0
1P ,AFRICA,GULF OF SUEZ,122.0,60.0,181547.0,OFFSHORE,202.0,8400.0,4235.0,AQUIFER DRIVE,7220.0,NEOGENE,1300.0,0.48,18.0,27.5,3770.0,1.3,415.0,46.0
1P ,ASIA-PACIFIC,NATUNA WEST,22.0,300.0,74594.0,OFFSHORE,196.0,6000.0,1860.0,AQUIFER DRIVE,4181.0,NEOGENE,200.0,0.65,27.0,47.0,324.0,5.64,354.0,60.0
1P ,ASIA-PACIFIC,NATUNA WEST,26.0,120.0,44345.0,OFFSHORE,208.0,6000.0,2034.0,AQUIFER DRIVE,4543.0,PALEOGENE,180.0,0.68,24.0,47.0,259.0,5.64,320.0,60.0
1P ,NORTH AMERICA,POWDER RIVER,415.0,20.0,56000.0,ONSHORE,110.0,6000.0,2560.2285764842723,GAS DRIVE,350.0,CRETACEOUS,40.0,0.6,24.0,37.0,243.0,1.9,250.0,56.0
2C ,AFRICA,MORONDAVA,22.0,0.0,5000.0,ONSHORE,104.2322183960465,6000.0,79.7974254134433,AQUIFER DRIVE,-660.0,TRIASSIC,900.0,0.6,19.5,11.0,10000.0,2300.0,500.0,10.0
1P ,EUROPE,NORTH SEA NORTHERN,119.0,60.0,110650.0,OFFSHORE,207.0,10500.0,4900.0,AQUIFER DRIVE,9600.0,JURASSIC,500.0,0.85,17.0,37.0,2917.0,0.55,1200.0,35.4
1P ,EUROPE,NORTH SEA NORTHERN,9.0,0.0,5000.0,OFFSHORE,215.0,10500.0,5300.0,AQUIFER DRIVE,10200.0,TRIASSIC,1000.0,0.5,17.0,36.0,324.0,0.7,750.0,44.0
1P ,EUROPE,NORTH SEA NORTHERN,3.0,0.0,5000.0,OFFSHORE,207.0,10500.0,4900.0,AQUIFER DRIVE,10000.0,JURASSIC,300.0,0.4,14.0,38.0,131.0,0.7,960.0,44.0
