5_Resource uncertainty,10_Region,11_Basin name,38_Well count (total producer),52_Well spacing (average) (ac),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,75_Temperature (original) (deg. F),76_Pressure_Temp_depth (ft TVDSS),77_Pressure (original) (psi),82_Drive mechanism (main),117_Reservoir top subsea depth (ft TVDSS),149_Reservoir period,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),204_Porosity (matrix average) (%),218_API gravity (average) (deg. API),293_Original in-place oil equivalent (MMBOE),225_Viscosity (oil average) (cp),252_GOR (initial average) (SCF/STB),307_Recovery factor (ultimate oil) (%)
1P ,NORTH AMERICA,WILLISTON,4.0,320.0,3515.0,ONSHORE,224.0,5000.0,4536.0,GAS DRIVE,7207.0,CARBONIFEROUS,60.0,0.4,5.4,43.9,19.4,0.29,468.0,40.5
1P ,NORTH AMERICA,ANADARKO,32.0,46.63,175.0,ONSHORE,121.0,2000.0,2190.0,AQUIFER DRIVE,1930.0,CARBONIFEROUS,100.0,0.4,21.0,37.0,2300.0,0.4,500.0,30.0
1P ,MIDDLE EAST,THE GULF,32.0,250.0,335000.0,ONSHORE,194.0,5600.0,2915.0,GAS DRIVE,5231.0,JURASSIC,84.0,0.19,18.0,37.0,4600.0,0.6,735.0,38.2
1P ,MIDDLE EAST,THE GULF,32.0,250.0,335000.0,ONSHORE,207.0,6251.5,3263.0,AQUIFER DRIVE,5373.0,JURASSIC,231.0,0.52,22.0,42.0,15666.67,0.4,1070.0,42.7
1P ,MIDDLE EAST,THE GULF,32.0,0.0,68000.0,ONSHORE,219.0,7050.0,3520.0,AQUIFER DRIVE,6655.0,JURASSIC,120.0,0.63,18.0,42.5,600.0,0.25,1060.0,30.0
1P ,NORTH AMERICA,PERMIAN,1225.0,10.0,32073.0,ONSHORE,88.0,400.0,1506.0,GAS DRIVE,400.0,PERMIAN,300.0,0.4,13.0,34.0,978.0,2.92,384.0,21.0
1P ,NORTH AMERICA,GREAT,22.0,29.0,841.0,ONSHORE,200.0,1654.5,2800.0,AQUIFER DRIVE,950.0,PALEOGENE,60.0,0.4,16.0,27.5,2300.0,0.4,500.0,30.0
3P ,MIDDLE EAST,MESOPOTAMIAN,32.0,0.0,68000.0,ONSHORE,184.5939615,5000.0,3846.591708,GAS DRIVE,6332.0,CRETACEOUS,955.0,0.4,20.0,19.0,11580.0,0.4,247.0,13.0
1P ,MIDDLE EAST,MESOPOTAMIAN,32.0,0.0,20000.0,ONSHORE,104.2322184,5000.0,79.79742541,GAS DRIVE,11500.0,CRETACEOUS,304.0,0.4,23.0,19.0,6450.0,0.4,310.0,13.0
3P ,MIDDLE EAST,MESOPOTAMIAN,32.0,0.0,68000.0,ONSHORE,104.2322184,5000.0,79.79742541,GAS DRIVE,11500.0,CRETACEOUS,300.0,0.4,22.0,19.0,5620.0,0.4,324.0,13.0
1P ,EUROPE,NORTH SEA CENTRAL,243.0,0.0,299060.0,OFFSHORE,268.0,10400.0,7135.0,GAS DRIVE,9480.0,PALEOGENE/CRETACEOUS,820.0,0.71,32.0,36.0,8530.0,1.0,1530.0,52.0
1P ,MIDDLE EAST,RUB AL KHALI,23.0,0.0,44307.0,OFFSHORE,223.0,8800.0,4412.0,GAS DRIVE,8220.0,JURASSIC,340.0,0.82,14.0,39.0,500.0,0.2,1980.0,54.0
1P ,EUROPE,NORTH SEA CENTRAL,112.0,0.0,101246.0,OFFSHORE,268.0,9400.0,6817.0,GAS DRIVE,8900.0,PALEOGENE/CRETACEOUS,480.0,0.8,30.0,37.0,3567.0,0.11,1804.0,31.0
1P ,NORTH AMERICA,BIG HORN,123.0,30.0,23882.0,ONSHORE,135.0,5000.0,2264.0,AQUIFER DRIVE,-250.0,CARBONIFEROUS,780.0,0.4,12.0,28.0,526.0,68.0,235.0,38.0
1P ,NORTH AMERICA,WILLISTON,40.0,80.0,3624.0,ONSHORE,216.0,5000.0,4490.0,AQUIFER DRIVE,6825.0,CARBONIFEROUS,105.0,0.4,16.0,46.0,50.0,0.23,450.0,44.0
1P ,NORTH AMERICA,WILLISTON,744.0,640.0,52000.0,ONSHORE,240.0,8138.0,5000.0,GAS DRIVE,3488.0,DEVONIAN,60.0,0.4,9.0,42.0,2700.0,0.36,500.0,10.0
1P ,NORTH AMERICA,PERMIAN,27.0,40.0,9953.0,ONSHORE,185.0,9000.0,5337.0,AQUIFER DRIVE,9000.0,ORDOVICIAN,460.0,0.4,3.0,49.0,230.0,0.5,636.0,20.4
1P ,NORTH AMERICA,PERMIAN,110.0,20.0,2784.0,ONSHORE,104.0,1000.0,1550.0,GAS DRIVE,985.0,PERMIAN,350.0,0.4,8.0,34.0,48.4,0.4,500.0,43.8
1P ,NORTH AMERICA,PERMIAN,382.0,10.0,41528.0,ONSHORE,109.0,2264.0,2359.0,AQUIFER DRIVE,1621.0,PERMIAN,300.0,0.4,6.4,43.0,383.0,0.39,1250.0,60.0
1P ,MIDDLE EAST,FAHUD SALT,380.0,5.6,220000.0,ONSHORE,135.0,5000.0,889.0,AQUIFER DRIVE,164.0,CRETACEOUS,1440.0,0.4,29.0,31.0,6300.0,2.2,145.0,30.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,152.0,120.0,48819.0,ONSHORE,265.0,9300.0,5924.0,AQUIFER DRIVE,9280.0,CRETACEOUS,150.0,0.47,11.0,48.0,410.0,0.13,1500.0,52.4
1P ,MIDDLE EAST,RUB AL KHALI,240.0,120.0,186294.0,OFFSHORE,230.0,5000.0,4230.0,AQUIFER DRIVE,7900.0,CRETACEOUS,250.0,0.3,20.0,32.0,2964.0,0.57,350.0,60.0
1P ,NORTH AMERICA,PERMIAN,669.0,20.0,38312.0,ONSHORE,110.0,3900.0,2940.0,GAS DRIVE,3400.0,PERMIAN,600.0,0.4,10.0,42.0,1300.0,0.43,1250.0,24.6
